OrderNo,Sequence,GoodQuantity,DefectQuantity,ScrapQuantity,ReworkQuantity,StartedAt,EndedAt,OutputLocationCode,Backflush,Defects
BLK-SF-0629,10,39,1,,,2026-06-29 08:00,2026-06-29 16:30,,false,DR-03=1
BLK-SF-0629,10,31,2,,,2026-06-29 20:00,2026-06-30 04:30,,false,DR-02=1;DR-03=1
BLK-FG-0629,10,32,0,,,2026-06-29 08:30,2026-06-29 16:30,,false,
BLK-FG-0629,20,32,0,,,2026-06-29 13:00,2026-06-29 17:00,,false,
BLK-FG-0629,30,32,0,,,2026-06-29 15:00,2026-06-29 17:00,WH-P01,false,
BLK-SF-0629,10,44,2,,,2026-06-30 08:00,2026-06-30 16:30,,false,DR-02=2
BLK-SF-0629,10,38,2,,,2026-06-30 20:00,2026-07-01 04:30,,false,DR-02=1;DR-03=1
BLK-FG-0629,10,32,1,,,2026-06-30 08:30,2026-06-30 16:30,,false,DR-05=1
BLK-FG-0629,20,32,0,,,2026-06-30 13:00,2026-06-30 17:00,,false,
BLK-FG-0629,30,32,0,,,2026-06-30 15:00,2026-06-30 17:00,WH-P01,false,
BLK-SF-0629,10,37,1,,,2026-07-01 08:00,2026-07-01 16:30,,false,DR-02=1
BLK-SF-0629,10,34,2,,,2026-07-01 20:00,2026-07-02 04:30,,false,DR-01=1;DR-02=1
BLK-FG-0629,10,32,1,,,2026-07-01 08:30,2026-07-01 16:30,,false,DR-05=1
BLK-FG-0629,20,31,1,,,2026-07-01 13:00,2026-07-01 17:00,,false,DR-02=1
BLK-FG-0629,30,31,0,,,2026-07-01 15:00,2026-07-01 17:00,WH-P01,false,
BLK-SF-0629,10,40,1,,,2026-07-02 08:00,2026-07-02 16:30,,false,DR-02=1
BLK-SF-0629,10,37,2,,,2026-07-02 20:00,2026-07-03 04:30,,false,DR-01=2
BLK-FG-0629,10,28,1,,,2026-07-02 08:30,2026-07-02 16:30,,false,DR-05=1
BLK-FG-0629,20,28,0,,,2026-07-02 13:00,2026-07-02 17:00,,false,
BLK-FG-0629,30,28,0,,,2026-07-02 15:00,2026-07-02 17:00,WH-P01,false,
BLK-SF-0629,10,38,2,,,2026-07-03 08:00,2026-07-03 16:30,,false,DR-02=2
BLK-SF-0629,10,30,2,,,2026-07-03 20:00,2026-07-04 04:30,,false,DR-01=1;DR-02=1
BLK-FG-0629,10,32,1,,,2026-07-03 08:30,2026-07-03 16:30,,false,DR-05=1
BLK-FG-0629,20,31,1,,,2026-07-03 13:00,2026-07-03 17:00,,false,DR-02=1
BLK-FG-0629,30,31,0,,,2026-07-03 15:00,2026-07-03 17:00,WH-P01,false,
BLK-SF-0629,10,42,1,,,2026-07-04 08:00,2026-07-04 16:30,,false,DR-01=1
BLK-SF-0629,20,407,3,,,2026-07-03 10:00,2026-07-03 11:00,WIP-02,false,DR-03=3
BLK-SF-0706,10,45,1,,,2026-07-06 08:00,2026-07-06 16:30,,false,DR-03=1
BLK-SF-0706,10,38,2,,,2026-07-06 20:00,2026-07-07 04:30,,false,DR-02=1;DR-03=1
BLK-FG-0706,10,29,0,,,2026-07-06 08:30,2026-07-06 16:30,,false,
BLK-FG-0706,20,29,0,,,2026-07-06 13:00,2026-07-06 17:00,,false,
BLK-FG-0706,30,29,0,,,2026-07-06 15:00,2026-07-06 17:00,WH-P01,false,
BLK-SF-0706,10,40,1,,,2026-07-07 08:00,2026-07-07 16:30,,false,DR-01=1
BLK-SF-0706,10,30,2,,,2026-07-07 20:00,2026-07-08 04:30,,false,DR-01=2
BLK-FG-0706,10,29,0,,,2026-07-07 08:30,2026-07-07 16:30,,false,
BLK-FG-0706,20,28,1,,,2026-07-07 13:00,2026-07-07 17:00,,false,DR-02=1
BLK-FG-0706,30,28,0,,,2026-07-07 15:00,2026-07-07 17:00,WH-P01,false,
BLK-SF-0706,10,42,1,,,2026-07-08 08:00,2026-07-08 16:30,,false,DR-01=1
BLK-SF-0706,10,36,2,,,2026-07-08 20:00,2026-07-09 04:30,,false,DR-02=1;DR-03=1
BLK-FG-0706,10,34,0,,,2026-07-08 08:30,2026-07-08 16:30,,false,
BLK-FG-0706,20,33,1,,,2026-07-08 13:00,2026-07-08 17:00,,false,DR-02=1
BLK-FG-0706,30,33,0,,,2026-07-08 15:00,2026-07-08 17:00,WH-P01,false,
BLK-SF-0706,10,40,1,,,2026-07-09 08:00,2026-07-09 16:30,,false,DR-02=1
BLK-SF-0706,10,31,2,,,2026-07-09 20:00,2026-07-10 04:30,,false,DR-01=2
BLK-FG-0706,10,34,0,,,2026-07-09 08:30,2026-07-09 16:30,,false,
BLK-FG-0706,20,34,0,,,2026-07-09 13:00,2026-07-09 17:00,,false,
BLK-FG-0706,30,34,0,,,2026-07-09 15:00,2026-07-09 17:00,WH-P01,false,
BLK-SF-0706,10,38,1,,,2026-07-10 08:00,2026-07-10 16:30,,false,DR-01=1
BLK-SF-0706,10,31,2,,,2026-07-10 20:00,2026-07-11 04:30,,false,DR-01=1;DR-02=1
BLK-FG-0706,10,29,0,,,2026-07-10 08:30,2026-07-10 16:30,,false,
BLK-FG-0706,20,29,0,,,2026-07-10 13:00,2026-07-10 17:00,,false,
BLK-FG-0706,30,29,0,,,2026-07-10 15:00,2026-07-10 17:00,WH-P01,false,
BLK-SF-0706,20,369,2,,,2026-07-10 10:00,2026-07-10 11:00,WIP-02,false,DR-03=2
BLK-SF-0713,10,43,2,,,2026-07-13 08:00,2026-07-13 16:30,,false,DR-01=1;DR-02=1
BLK-SF-0713,10,32,2,,,2026-07-13 20:00,2026-07-14 04:30,,false,DR-01=1;DR-03=1
BLK-FG-0713,10,28,1,,,2026-07-13 08:30,2026-07-13 16:30,,false,DR-05=1
BLK-FG-0713,20,27,1,,,2026-07-13 13:00,2026-07-13 17:00,,false,DR-02=1
BLK-FG-0713,30,27,0,,,2026-07-13 15:00,2026-07-13 17:00,WH-P01,false,
BLK-SF-0713,10,44,1,,,2026-07-14 08:00,2026-07-14 16:30,,false,DR-02=1
BLK-SF-0713,10,32,1,,,2026-07-14 20:00,2026-07-15 04:30,,false,DR-02=1
BLK-FG-0713,10,33,1,,,2026-07-14 08:30,2026-07-14 16:30,,false,DR-05=1
BLK-FG-0713,20,33,0,,,2026-07-14 13:00,2026-07-14 17:00,,false,
BLK-FG-0713,30,33,0,,,2026-07-14 15:00,2026-07-14 17:00,WH-P01,false,
BLK-SF-0713,10,38,1,,,2026-07-15 08:00,2026-07-15 16:30,,false,DR-01=1
BLK-SF-0713,10,31,1,,,2026-07-15 20:00,2026-07-16 04:30,,false,DR-02=1
BLK-FG-0713,10,33,1,,,2026-07-15 08:30,2026-07-15 16:30,,false,DR-05=1
BLK-FG-0713,20,32,1,,,2026-07-15 13:00,2026-07-15 17:00,,false,DR-02=1
BLK-FG-0713,30,32,0,,,2026-07-15 15:00,2026-07-15 17:00,WH-P01,false,
BLK-SF-0713,10,38,1,,,2026-07-16 08:00,2026-07-16 16:30,,false,DR-02=1
BLK-SF-0713,10,38,2,,,2026-07-16 20:00,2026-07-17 04:30,,false,DR-01=2
BLK-FG-0713,10,29,0,,,2026-07-16 08:30,2026-07-16 16:30,,false,
BLK-FG-0713,20,28,1,,,2026-07-16 13:00,2026-07-16 17:00,,false,DR-02=1
BLK-FG-0713,30,28,0,,,2026-07-16 15:00,2026-07-16 17:00,WH-P01,false,
BLK-SF-0713,10,41,1,,,2026-07-17 08:00,2026-07-17 16:30,,false,DR-03=1
BLK-SF-0713,10,32,1,,,2026-07-17 20:00,2026-07-18 04:30,,false,DR-01=1
BLK-FG-0713,10,29,1,,,2026-07-17 08:30,2026-07-17 16:30,,false,DR-05=1
BLK-FG-0713,20,29,0,,,2026-07-17 13:00,2026-07-17 17:00,,false,
BLK-FG-0713,30,29,0,,,2026-07-17 15:00,2026-07-17 17:00,WH-P01,false,
BLK-SF-0713,10,38,2,,,2026-07-18 08:00,2026-07-18 16:30,,false,DR-03=2
BLK-SF-0713,20,405,2,,,2026-07-17 10:00,2026-07-17 11:00,WIP-02,false,DR-03=2
BLK-SF-0720,10,41,1,,,2026-07-20 08:00,2026-07-20 16:30,,false,DR-02=1
BLK-SF-0720,10,30,2,,,2026-07-20 20:00,2026-07-21 04:30,,false,DR-01=1;DR-03=1
BLK-FG-0720,10,31,0,,,2026-07-20 08:30,2026-07-20 16:30,,false,
BLK-FG-0720,20,30,1,,,2026-07-20 13:00,2026-07-20 17:00,,false,DR-02=1
BLK-FG-0720,30,30,0,,,2026-07-20 15:00,2026-07-20 17:00,WH-P01,false,
BLK-SF-0720,10,44,2,,,2026-07-21 08:00,2026-07-21 16:30,,false,DR-01=1;DR-03=1
BLK-SF-0720,10,33,2,,,2026-07-21 20:00,2026-07-22 04:30,,false,DR-02=2
BLK-FG-0720,10,31,1,,,2026-07-21 08:30,2026-07-21 16:30,,false,DR-05=1
BLK-FG-0720,20,31,0,,,2026-07-21 13:00,2026-07-21 17:00,,false,
BLK-FG-0720,30,31,0,,,2026-07-21 15:00,2026-07-21 17:00,WH-P01,false,
BLK-SF-0720,10,44,2,,,2026-07-22 08:00,2026-07-22 16:30,,false,DR-01=2
BLK-SF-0720,10,31,2,,,2026-07-22 20:00,2026-07-23 04:30,,false,DR-01=1;DR-02=1
BLK-FG-0720,10,32,1,,,2026-07-22 08:30,2026-07-22 16:30,,false,DR-05=1
BLK-FG-0720,20,32,0,,,2026-07-22 13:00,2026-07-22 17:00,,false,
BLK-FG-0720,30,32,0,,,2026-07-22 15:00,2026-07-22 17:00,WH-P01,false,
