EquipmentAssetNo,Status,StartedAt,EndedAt,StopCause,OrderNo,Sequence,Note
EQ-01,Setup,2026-06-29 08:00,2026-06-29 08:28,,,,
EQ-01,Running,2026-06-29 08:28,2026-06-29 12:00,,BLK-SF-0629,10,
EQ-01,Idle,2026-06-29 12:00,2026-06-29 12:51,,,,
EQ-01,Running,2026-06-29 12:51,2026-06-29 16:45,,BLK-SF-0629,10,
EQ-01,Setup,2026-06-29 20:00,2026-06-29 20:29,,,,
EQ-01,Running,2026-06-29 20:29,2026-06-30 00:09,,BLK-SF-0629,10,
EQ-01,Idle,2026-06-30 00:09,2026-06-30 00:53,,,,
EQ-01,Running,2026-06-30 00:53,2026-06-30 04:30,,BLK-SF-0629,10,
EQ-05,Setup,2026-06-29 08:00,2026-06-29 08:42,,,,
EQ-05,Running,2026-06-29 08:42,2026-06-29 11:24,,BLK-SF-0629,10,
EQ-05,Idle,2026-06-29 11:24,2026-06-29 14:24,,,,
EQ-05,Running,2026-06-29 14:24,2026-06-29 15:20,,BLK-SF-0629,10,
EQ-05,Idle,2026-06-29 15:20,2026-06-29 17:00,,,,
EQ-02,Setup,2026-06-29 08:15,2026-06-29 08:31,,,,
EQ-02,Running,2026-06-29 08:31,2026-06-29 11:56,,BLK-FG-0629,10,
EQ-02,Idle,2026-06-29 11:56,2026-06-29 13:03,,,,
EQ-02,Running,2026-06-29 13:03,2026-06-29 16:30,,BLK-FG-0629,10,
EQ-03,Idle,2026-06-29 08:00,2026-06-29 10:07,,,,
EQ-03,Running,2026-06-29 10:07,2026-06-29 11:56,,BLK-FG-0629,20,
EQ-03,Idle,2026-06-29 11:56,2026-06-29 13:06,,,,
EQ-03,Running,2026-06-29 13:06,2026-06-29 15:54,,BLK-FG-0629,20,
EQ-03,Idle,2026-06-29 15:54,2026-06-29 17:00,,,,
EQ-04,Setup,2026-06-29 14:45,2026-06-29 15:00,,,,
EQ-04,Running,2026-06-29 15:00,2026-06-29 17:00,,BLK-FG-0629,30,
EQ-01,Setup,2026-06-30 08:00,2026-06-30 08:39,,,,
EQ-01,Running,2026-06-30 08:39,2026-06-30 12:07,,BLK-SF-0629,10,
EQ-01,Idle,2026-06-30 12:07,2026-06-30 12:53,,,,
EQ-01,Running,2026-06-30 12:53,2026-06-30 16:45,,BLK-SF-0629,10,
EQ-01,Setup,2026-06-30 20:00,2026-06-30 20:27,,,,
EQ-01,Running,2026-06-30 20:27,2026-07-01 00:05,,BLK-SF-0629,10,
EQ-01,Idle,2026-07-01 00:05,2026-07-01 00:40,,,,
EQ-01,Running,2026-07-01 00:40,2026-07-01 04:30,,BLK-SF-0629,10,
EQ-05,Setup,2026-06-30 08:00,2026-06-30 08:54,,,,
EQ-05,Running,2026-06-30 08:54,2026-06-30 11:37,,BLK-SF-0629,10,
EQ-05,Idle,2026-06-30 11:37,2026-06-30 14:25,,,,
EQ-05,Running,2026-06-30 14:25,2026-06-30 15:39,,BLK-SF-0629,10,
EQ-05,Idle,2026-06-30 15:39,2026-06-30 17:00,,,,
EQ-02,Setup,2026-06-30 08:15,2026-06-30 08:24,,,,
EQ-02,Running,2026-06-30 08:24,2026-06-30 12:01,,BLK-FG-0629,10,
EQ-02,Idle,2026-06-30 12:01,2026-06-30 13:06,,,,
EQ-02,Running,2026-06-30 13:06,2026-06-30 16:30,,BLK-FG-0629,10,
EQ-03,Idle,2026-06-30 08:00,2026-06-30 10:05,,,,
EQ-03,Running,2026-06-30 10:05,2026-06-30 11:54,,BLK-FG-0629,20,
EQ-03,Idle,2026-06-30 11:54,2026-06-30 12:55,,,,
EQ-03,Running,2026-06-30 12:55,2026-06-30 15:56,,BLK-FG-0629,20,
EQ-03,Idle,2026-06-30 15:56,2026-06-30 17:00,,,,
EQ-04,Setup,2026-06-30 14:45,2026-06-30 14:54,,,,
EQ-04,Running,2026-06-30 14:54,2026-06-30 17:00,,BLK-FG-0629,30,
EQ-01,Setup,2026-07-01 08:00,2026-07-01 08:28,,,,
EQ-01,Running,2026-07-01 08:28,2026-07-01 11:58,,BLK-SF-0629,10,
EQ-01,Idle,2026-07-01 11:58,2026-07-01 13:00,,,,
EQ-01,Running,2026-07-01 13:00,2026-07-01 16:45,,BLK-SF-0629,10,
EQ-01,Setup,2026-07-01 20:00,2026-07-01 20:18,,,,
EQ-01,Running,2026-07-01 20:18,2026-07-01 23:51,,BLK-SF-0629,10,
EQ-01,Idle,2026-07-01 23:51,2026-07-02 00:52,,,,
EQ-01,Running,2026-07-02 00:52,2026-07-02 04:30,,BLK-SF-0629,10,
EQ-05,Setup,2026-07-01 08:00,2026-07-01 08:36,,,,
EQ-05,Running,2026-07-01 08:36,2026-07-01 11:32,,BLK-SF-0629,10,
EQ-05,Idle,2026-07-01 11:32,2026-07-01 14:36,,,,
EQ-05,Running,2026-07-01 14:36,2026-07-01 15:21,,BLK-SF-0629,10,
EQ-05,Idle,2026-07-01 15:21,2026-07-01 17:00,,,,
EQ-02,Setup,2026-07-01 08:15,2026-07-01 08:40,,,,
EQ-02,Running,2026-07-01 08:40,2026-07-01 11:59,,BLK-FG-0629,10,
EQ-02,Idle,2026-07-01 11:59,2026-07-01 12:53,,,,
EQ-02,Running,2026-07-01 12:53,2026-07-01 16:30,,BLK-FG-0629,10,
EQ-03,Idle,2026-07-01 08:00,2026-07-01 09:56,,,,
EQ-03,Running,2026-07-01 09:56,2026-07-01 11:51,,BLK-FG-0629,20,
EQ-03,Idle,2026-07-01 11:51,2026-07-01 12:53,,,,
EQ-03,Running,2026-07-01 12:53,2026-07-01 16:06,,BLK-FG-0629,20,
EQ-03,Idle,2026-07-01 16:06,2026-07-01 17:00,,,,
EQ-04,Setup,2026-07-01 14:45,2026-07-01 15:05,,,,
EQ-04,Running,2026-07-01 15:05,2026-07-01 17:00,,BLK-FG-0629,30,
EQ-01,Setup,2026-07-02 08:00,2026-07-02 08:28,,,,
EQ-01,Running,2026-07-02 08:28,2026-07-02 12:00,,BLK-SF-0629,10,
EQ-01,Idle,2026-07-02 12:00,2026-07-02 12:55,,,,
EQ-01,Running,2026-07-02 12:55,2026-07-02 16:45,,BLK-SF-0629,10,
EQ-01,Setup,2026-07-02 20:00,2026-07-02 20:21,,,,
EQ-01,Running,2026-07-02 20:21,2026-07-02 23:57,,BLK-SF-0629,10,
EQ-01,Idle,2026-07-02 23:57,2026-07-03 00:36,,,,
EQ-01,Running,2026-07-03 00:36,2026-07-03 04:30,,BLK-SF-0629,10,
EQ-05,Setup,2026-07-02 08:00,2026-07-02 08:36,,,,
EQ-05,Running,2026-07-02 08:36,2026-07-02 11:27,,BLK-SF-0629,10,
EQ-05,Idle,2026-07-02 11:27,2026-07-02 14:28,,,,
EQ-05,Running,2026-07-02 14:28,2026-07-02 15:30,,BLK-SF-0629,10,
EQ-05,Idle,2026-07-02 15:30,2026-07-02 17:00,,,,
EQ-02,Setup,2026-07-02 08:15,2026-07-02 08:27,,,,
EQ-02,Running,2026-07-02 08:27,2026-07-02 11:53,,BLK-FG-0629,10,
EQ-02,Idle,2026-07-02 11:53,2026-07-02 12:53,,,,
EQ-02,Running,2026-07-02 12:53,2026-07-02 16:30,,BLK-FG-0629,10,
EQ-03,Idle,2026-07-02 08:00,2026-07-02 09:50,,,,
EQ-03,Running,2026-07-02 09:50,2026-07-02 12:00,,BLK-FG-0629,20,
EQ-03,Idle,2026-07-02 12:00,2026-07-02 12:50,,,,
EQ-03,Running,2026-07-02 12:50,2026-07-02 16:05,,BLK-FG-0629,20,
EQ-03,Idle,2026-07-02 16:05,2026-07-02 17:00,,,,
EQ-04,Setup,2026-07-02 14:45,2026-07-02 14:54,,,,
EQ-04,Running,2026-07-02 14:54,2026-07-02 17:00,,BLK-FG-0629,30,
EQ-01,Setup,2026-07-03 08:00,2026-07-03 08:25,,,,
EQ-01,Running,2026-07-03 08:25,2026-07-03 12:00,,BLK-SF-0629,10,
EQ-01,Idle,2026-07-03 12:00,2026-07-03 13:04,,,,
EQ-01,Running,2026-07-03 13:04,2026-07-03 16:45,,BLK-SF-0629,10,
EQ-01,Setup,2026-07-03 20:00,2026-07-03 20:16,,,,
EQ-01,Running,2026-07-03 20:16,2026-07-03 23:59,,BLK-SF-0629,10,
EQ-01,Idle,2026-07-03 23:59,2026-07-04 00:51,,,,
EQ-01,Running,2026-07-04 00:51,2026-07-04 04:30,,BLK-SF-0629,10,
EQ-05,Setup,2026-07-03 08:00,2026-07-03 08:42,,,,
EQ-05,Running,2026-07-03 08:42,2026-07-03 11:22,,BLK-SF-0629,10,
EQ-05,Idle,2026-07-03 11:22,2026-07-03 14:39,,,,
EQ-05,Running,2026-07-03 14:39,2026-07-03 15:27,,BLK-SF-0629,10,
EQ-05,Idle,2026-07-03 15:27,2026-07-03 17:00,,,,
EQ-02,Setup,2026-07-03 08:15,2026-07-03 08:31,,,,
EQ-02,Running,2026-07-03 08:31,2026-07-03 12:08,,BLK-FG-0629,10,
EQ-02,Idle,2026-07-03 12:08,2026-07-03 12:52,,,,
EQ-02,Running,2026-07-03 12:52,2026-07-03 16:30,,BLK-FG-0629,10,
EQ-03,Idle,2026-07-03 08:00,2026-07-03 10:01,,,,
EQ-03,Running,2026-07-03 10:01,2026-07-03 12:02,,BLK-FG-0629,20,
EQ-03,Idle,2026-07-03 12:02,2026-07-03 13:04,,,,
EQ-03,Running,2026-07-03 13:04,2026-07-03 16:07,,BLK-FG-0629,20,
EQ-03,Idle,2026-07-03 16:07,2026-07-03 17:00,,,,
EQ-04,Setup,2026-07-03 14:45,2026-07-03 14:55,,,,
EQ-04,Running,2026-07-03 14:55,2026-07-03 17:00,,BLK-FG-0629,30,
EQ-01,Setup,2026-07-04 08:00,2026-07-04 08:38,,,,
EQ-01,Running,2026-07-04 08:38,2026-07-04 12:03,,BLK-SF-0629,10,
EQ-01,Idle,2026-07-04 12:03,2026-07-04 12:50,,,,
EQ-01,Running,2026-07-04 12:50,2026-07-04 16:45,,BLK-SF-0629,10,
EQ-05,Setup,2026-07-04 08:00,2026-07-04 08:37,,,,
EQ-05,Running,2026-07-04 08:37,2026-07-04 11:40,,BLK-SF-0629,10,
EQ-05,Idle,2026-07-04 11:40,2026-07-04 14:27,,,,
EQ-05,Running,2026-07-04 14:27,2026-07-04 15:23,,BLK-SF-0629,10,
EQ-05,Idle,2026-07-04 15:23,2026-07-04 17:00,,,,
EQ-01,Setup,2026-07-06 08:00,2026-07-06 08:35,,,,
EQ-01,Running,2026-07-06 08:35,2026-07-06 12:07,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-06 12:07,2026-07-06 13:06,,,,
EQ-01,Running,2026-07-06 13:06,2026-07-06 16:45,,BLK-SF-0706,10,
EQ-01,Setup,2026-07-06 20:00,2026-07-06 20:12,,,,
EQ-01,Running,2026-07-06 20:12,2026-07-06 23:53,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-06 23:53,2026-07-07 00:52,,,,
EQ-01,Running,2026-07-07 00:52,2026-07-07 04:30,,BLK-SF-0706,10,
EQ-05,Setup,2026-07-06 08:00,2026-07-06 08:53,,,,
EQ-05,Running,2026-07-06 08:53,2026-07-06 11:28,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-06 11:28,2026-07-06 14:34,,,,
EQ-05,Running,2026-07-06 14:34,2026-07-06 15:29,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-06 15:29,2026-07-06 17:00,,,,
EQ-02,Setup,2026-07-06 08:15,2026-07-06 08:24,,,,
EQ-02,Running,2026-07-06 08:24,2026-07-06 11:57,,BLK-FG-0706,10,
EQ-02,Idle,2026-07-06 11:57,2026-07-06 12:59,,,,
EQ-02,Running,2026-07-06 12:59,2026-07-06 16:30,,BLK-FG-0706,10,
EQ-03,Idle,2026-07-06 08:00,2026-07-06 09:59,,,,
EQ-03,Running,2026-07-06 09:59,2026-07-06 12:09,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-06 12:09,2026-07-06 12:55,,,,
EQ-03,Running,2026-07-06 12:55,2026-07-06 16:06,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-06 16:06,2026-07-06 17:00,,,,
EQ-04,Setup,2026-07-06 14:45,2026-07-06 15:01,,,,
EQ-04,Running,2026-07-06 15:01,2026-07-06 17:00,,BLK-FG-0706,30,
EQ-01,Setup,2026-07-07 08:00,2026-07-07 08:36,,,,
EQ-01,Running,2026-07-07 08:36,2026-07-07 11:55,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-07 11:55,2026-07-07 13:02,,,,
EQ-01,Running,2026-07-07 13:02,2026-07-07 16:45,,BLK-SF-0706,10,
