ProductCode,Quantity,LocationCode,LotNumber,ExpiresOn,Note
RM-3001,50,WH-M01,R3001-260901,,鋳造品 初回入荷
RM-3002,50,WH-M01,R3002-260901,,
RM-3003,50,WH-M01,R3003-260901,,
RM-3004,200,WH-M02,R3004-260901,2027-08-31,ゴム製品のため有効期限あり
RM-3007,40,WH-M02,R3007-260901,2028-08-31,代替Oリング（耐油）
RM-3005,500,WH-M02,R3005-260901,,
RM-3006,20,WH-M02,R3006-260901,2027-02-28,
MP-9002,10,WH-S01,,,ロット番号は自動採番（保全用クーラントフィルタ）
RM-3001,30,WH-M01,R3001-260902,,鋳造品 追加入荷（受入検査で不合格になる）
RM-3004,30,WH-M02,R3004-251001,2026-10-31,前回入荷の残り（期限間近。先入れ先出しで先に引き当たる）
RM-3006,5,WH-M02,R3006-250801,2026-08-31,期限切れ（投入・出荷できないことの確認用）
