BusinessDate,ProductCode,ProcessCode,WorkCenterCode,PlannedQuantity,Note
2026-06-29,SF-2000,PR-10,WC-MC1,76,
2026-06-29,FG-1000,PR-30,WC-AS1,30,
2026-06-29,FG-1000,PR-40,WC-QC1,30,
2026-06-29,FG-1000,PR-50,WC-PK1,30,
2026-06-30,SF-2000,PR-10,WC-MC1,76,
2026-06-30,FG-1000,PR-30,WC-AS1,30,
2026-06-30,FG-1000,PR-40,WC-QC1,30,
2026-06-30,FG-1000,PR-50,WC-PK1,30,
2026-07-01,SF-2000,PR-10,WC-MC1,76,
2026-07-01,FG-1000,PR-30,WC-AS1,30,
2026-07-01,FG-1000,PR-40,WC-QC1,30,
2026-07-01,FG-1000,PR-50,WC-PK1,30,
2026-07-02,SF-2000,PR-10,WC-MC1,76,
2026-07-02,FG-1000,PR-30,WC-AS1,30,
2026-07-02,FG-1000,PR-40,WC-QC1,30,
2026-07-02,FG-1000,PR-50,WC-PK1,30,
2026-07-03,SF-2000,PR-10,WC-MC1,76,
2026-07-03,FG-1000,PR-30,WC-AS1,30,
2026-07-03,FG-1000,PR-40,WC-QC1,30,
2026-07-03,FG-1000,PR-50,WC-PK1,30,
2026-07-04,SF-2000,PR-10,WC-MC1,40,休日出勤（昼勤のみ）
2026-07-03,SF-2000,PR-20,,420,外注戻り（週まとめ）
2026-07-06,SF-2000,PR-10,WC-MC1,76,
2026-07-06,FG-1000,PR-30,WC-AS1,30,
2026-07-06,FG-1000,PR-40,WC-QC1,30,
2026-07-06,FG-1000,PR-50,WC-PK1,30,
2026-07-07,SF-2000,PR-10,WC-MC1,76,
2026-07-07,FG-1000,PR-30,WC-AS1,30,
2026-07-07,FG-1000,PR-40,WC-QC1,30,
2026-07-07,FG-1000,PR-50,WC-PK1,30,
2026-07-08,SF-2000,PR-10,WC-MC1,76,
2026-07-08,FG-1000,PR-30,WC-AS1,30,
2026-07-08,FG-1000,PR-40,WC-QC1,30,
2026-07-08,FG-1000,PR-50,WC-PK1,30,
2026-07-09,SF-2000,PR-10,WC-MC1,76,
2026-07-09,FG-1000,PR-30,WC-AS1,30,
2026-07-09,FG-1000,PR-40,WC-QC1,30,
2026-07-09,FG-1000,PR-50,WC-PK1,30,
2026-07-10,SF-2000,PR-10,WC-MC1,76,
2026-07-10,FG-1000,PR-30,WC-AS1,30,
2026-07-10,FG-1000,PR-40,WC-QC1,30,
2026-07-10,FG-1000,PR-50,WC-PK1,30,
2026-07-10,SF-2000,PR-20,,380,外注戻り（週まとめ）
2026-07-13,SF-2000,PR-10,WC-MC1,76,
2026-07-13,FG-1000,PR-30,WC-AS1,30,
2026-07-13,FG-1000,PR-40,WC-QC1,30,
2026-07-13,FG-1000,PR-50,WC-PK1,30,
2026-07-14,SF-2000,PR-10,WC-MC1,76,
2026-07-14,FG-1000,PR-30,WC-AS1,30,
2026-07-14,FG-1000,PR-40,WC-QC1,30,
2026-07-14,FG-1000,PR-50,WC-PK1,30,
2026-07-15,SF-2000,PR-10,WC-MC1,76,
2026-07-15,FG-1000,PR-30,WC-AS1,30,
2026-07-15,FG-1000,PR-40,WC-QC1,30,
2026-07-15,FG-1000,PR-50,WC-PK1,30,
2026-07-16,SF-2000,PR-10,WC-MC1,76,
2026-07-16,FG-1000,PR-30,WC-AS1,30,
2026-07-16,FG-1000,PR-40,WC-QC1,30,
2026-07-16,FG-1000,PR-50,WC-PK1,30,
2026-07-17,SF-2000,PR-10,WC-MC1,76,
2026-07-17,FG-1000,PR-30,WC-AS1,30,
2026-07-17,FG-1000,PR-40,WC-QC1,30,
2026-07-17,FG-1000,PR-50,WC-PK1,30,
2026-07-18,SF-2000,PR-10,WC-MC1,40,休日出勤（昼勤のみ）
2026-07-17,SF-2000,PR-20,,420,外注戻り（週まとめ）
2026-07-20,SF-2000,PR-10,WC-MC1,76,
2026-07-20,FG-1000,PR-30,WC-AS1,30,
2026-07-20,FG-1000,PR-40,WC-QC1,30,
2026-07-20,FG-1000,PR-50,WC-PK1,30,
2026-07-21,SF-2000,PR-10,WC-MC1,76,
2026-07-21,FG-1000,PR-30,WC-AS1,30,
2026-07-21,FG-1000,PR-40,WC-QC1,30,
2026-07-21,FG-1000,PR-50,WC-PK1,30,
2026-07-22,SF-2000,PR-10,WC-MC1,76,
2026-07-22,FG-1000,PR-30,WC-AS1,30,
2026-07-22,FG-1000,PR-40,WC-QC1,30,
2026-07-22,FG-1000,PR-50,WC-PK1,30,
2026-07-23,SF-2000,PR-10,WC-MC1,76,
2026-07-23,FG-1000,PR-30,WC-AS1,30,
2026-07-23,FG-1000,PR-40,WC-QC1,30,
2026-07-23,FG-1000,PR-50,WC-PK1,30,
2026-07-24,SF-2000,PR-10,WC-MC1,76,
2026-07-24,FG-1000,PR-30,WC-AS1,30,
2026-07-24,FG-1000,PR-40,WC-QC1,30,
2026-07-24,FG-1000,PR-50,WC-PK1,30,
2026-07-24,SF-2000,PR-20,,380,外注戻り（週まとめ）
2026-07-27,SF-2000,PR-10,WC-MC1,76,
2026-07-27,FG-1000,PR-30,WC-AS1,30,
2026-07-27,FG-1000,PR-40,WC-QC1,30,
2026-07-27,FG-1000,PR-50,WC-PK1,30,
2026-07-28,SF-2000,PR-10,WC-MC1,76,
2026-07-28,FG-1000,PR-30,WC-AS1,30,
2026-07-28,FG-1000,PR-40,WC-QC1,30,
2026-07-28,FG-1000,PR-50,WC-PK1,30,
2026-07-29,SF-2000,PR-10,WC-MC1,76,
2026-07-29,FG-1000,PR-30,WC-AS1,30,
2026-07-29,FG-1000,PR-40,WC-QC1,30,
2026-07-29,FG-1000,PR-50,WC-PK1,30,
2026-07-30,SF-2000,PR-10,WC-MC1,76,
2026-07-30,FG-1000,PR-30,WC-AS1,30,
2026-07-30,FG-1000,PR-40,WC-QC1,30,
2026-07-30,FG-1000,PR-50,WC-PK1,30,
